ssc_percentage,hsc_percentage,degree_percentage,emp_test_percentage,mba_percent,status
67,91,58,55,58.8,Placed
79.33,78.33,77.48,86.5,66.28,Placed
65,68,64,75,57.8,Placed
56,52,52,66,59.43,Not Placed
85.8,73.6,73.3,96.8,55.5,Placed
55,49.8,67.25,55,51.58,Not Placed
46,49.2,79,74.28,53.29,Not Placed
82,64,66,67,62.14,Placed
73,79,72,91.34,61.29,Placed
58,70,61,54,52.21,Not Placed
58,61,60,62,60.85,Placed
69.6,68.4,78.3,60,63.7,Placed
47,55,65,62,65.04,Not Placed
77,87,59,68,68.63,Placed
62,47,50,76,54.96,Not Placed
65,75,69,72,64.66,Placed
63,66.2,65.6,60,62.54,Placed
55,67,64,60,67.28,Not Placed
63,66,64,68,64.08,Not Placed
60,67,70,50.48,77.89,Placed
62,65,66,50,56.7,Placed
79,76,85,95,69.06,Placed
69.8,60.8,72.23,55.53,68.81,Placed
77.4,60,64.74,92,63.62,Placed
76.5,97.7,78.86,97.4,74.01,Placed
52.58,54.6,50.2,76,65.33,Not Placed
71,79,66,94,57.55,Placed
63,67,66,68,57.69,Placed
76.76,76.5,67.5,73.35,64.15,Placed
62,67,58,77,51.29,Not Placed
64,73.5,73,52,56.7,Placed
67,53,65,64,58.32,Not Placed
61,81,66.4,50.89,62.21,Placed
87,65,81,88,72.78,Placed
62,51,52,68.44,62.77,Not Placed
69,78,72,71,62.74,Placed
51,44,57,64,51.45,Not Placed
79,76,65.6,58,55.47,Placed
73,58,66,53.7,56.86,Placed
81,68,64,93,62.56,Placed
78,77,80,60,66.72,Placed
74,63.16,65,65,69.76,Not Placed
49,39,65,63,51.21,Not Placed
87,87,68,95,62.9,Placed
77,73,81,89,69.7,Placed
76,64,72,58,66.53,Not Placed
70.89,71.98,65.6,68,71.63,Not Placed
63,60,57,78,54.55,Placed
63,62,68,64,62.46,Placed
50,37,52,65,56.11,Not Placed
75.2,73.2,68.4,65,62.98,Placed
54.4,61.12,56.2,67,62.65,Not Placed
40.89,45.83,53,71.2,65.49,Not Placed
80,70,72,87,71.04,Placed
74,60,69,78,65.56,Placed
60.4,66.6,65,71,52.71,Placed
63,71.4,61.4,68,66.88,Placed
68,76,74,80,63.59,Placed
74,62,68,74,57.99,Placed
52.6,65.58,72.11,57.6,56.66,Placed
74,70,72,60,57.24,Placed
84.2,73.4,66.89,61.6,62.48,Placed
86.5,64.2,67.4,59,59.69,Placed
61,70,64,68.5,59.5,Not Placed
80,73,75,61,58.78,Placed
54,47,57,89.69,57.1,Not Placed
83,74,66,68.92,58.46,Placed
80.92,78.5,67,68.71,60.99,Placed
69.7,47,72.7,79,59.24,Not Placed
73,73,66,70,68.07,Placed
82,61,62,89,65.45,Placed
75,70.29,71,95,66.94,Placed
84.86,67,78,95.5,68.53,Placed
64.6,83.83,71.72,86,59.75,Placed
